iter	Passed	Remaining
0	61	61603
1	64	32394
2	68	22647
3	71	17793
4	74	14846
5	77	12856
6	80	11474
7	83	10410
8	86	9576
9	89	8906
10	93	8365
11	96	7907
12	99	7518
13	102	7188
14	105	6902
15	108	6664
16	111	6431
17	114	6241
18	117	6073
19	120	5909
20	123	5770
21	127	5645
22	130	5527
23	132	5407
24	136	5313
25	139	5221
26	142	5145
27	145	5058
28	148	4983
29	151	4912
30	155	4854
31	158	4796
32	161	4740
33	164	4687
34	168	4634
35	171	4592
36	174	4548
37	177	4498
38	180	4454
39	183	4408
40	186	4371
41	189	4326
42	192	4294
43	196	4263
44	199	4227
45	202	4190
46	205	4156
47	208	4130
48	211	4103
49	214	4077
50	217	4055
51	220	4025
52	224	4006
53	227	3985
54	230	3963
55	233	3939
56	236	3919
57	240	3899
58	243	3880
59	246	3860
60	249	3843
61	252	3824
62	255	3804
63	259	3789
64	262	3774
65	265	3757
66	268	3742
67	271	3727
68	275	3710
69	278	3697
70	281	3685
71	284	3670
72	287	3656
73	291	3644
74	294	3630
75	297	3618
76	300	3604
77	304	3594
78	307	3584
79	310	3573
80	313	3562
81	316	3547
82	319	3535
83	322	3520
84	326	3511
85	329	3501
86	332	3493
87	336	3482
88	339	3473
89	342	3463
90	345	3455
91	349	3448
92	352	3439
93	355	3428
94	358	3418
95	362	3410
96	365	3405
97	368	3394
98	372	3387
99	375	3376
100	377	3364
101	381	3354
102	384	3345
103	387	3336
104	390	3332
105	394	3325
106	398	3322
107	402	3321
108	405	3318
109	409	3311
110	412	3302
111	415	3298
112	419	3291
113	422	3283
114	425	3277
115	429	3271
116	432	3265
117	436	3261
118	439	3255
119	443	3249
120	446	3241
121	449	3235
122	452	3229
123	455	3219
124	458	3211
125	461	3204
126	465	3197
127	468	3191
128	471	3183
129	474	3178
130	478	3171
131	481	3165
132	484	3156
133	487	3150
134	490	3142
135	493	3134
136	496	3127
137	499	3123
138	503	3116
139	506	3110
140	509	3105
141	512	3099
142	515	3092
143	519	3085
144	522	3081
145	525	3076
146	529	3071
147	532	3064
148	535	3060
149	538	3054
150	542	3049
151	545	3044
152	549	3039
153	552	3033
154	555	3029
155	558	3024
156	562	3019
157	565	3014
158	568	3008
159	571	3001
160	575	2997
161	578	2991
162	581	2984
163	584	2977
164	587	2972
165	590	2968
166	594	2965
167	597	2958
168	600	2953
169	603	2948
170	607	2945
171	610	2940
172	614	2935
173	617	2931
174	620	2925
175	624	2921
176	627	2916
177	630	2911
178	633	2907
179	637	2902
180	640	2897
181	643	2892
182	646	2887
183	649	2882
184	653	2877
185	656	2873
186	659	2868
187	663	2864
188	666	2860
189	669	2854
190	673	2851
191	676	2846
192	679	2840
193	682	2836
194	686	2832
195	689	2828
196	692	2824
197	696	2820
198	699	2816
199	702	2811
200	705	2806
201	709	2801
202	712	2796
203	715	2792
204	718	2786
205	721	2780
206	724	2775
207	727	2771
208	731	2767
209	734	2761
210	737	2757
211	740	2752
212	743	2747
213	746	2742
214	750	2738
215	753	2734
216	756	2728
217	759	2723
218	762	2719
219	765	2715
220	769	2711
221	772	2707
222	775	2703
223	778	2698
224	781	2693
225	785	2689
226	788	2685
227	791	2681
228	794	2675
229	797	2670
230	800	2665
231	804	2661
232	807	2657
233	810	2653
234	813	2649
235	817	2644
236	820	2640
237	823	2636
238	826	2632
239	830	2628
240	833	2625
241	836	2620
242	839	2616
243	843	2611
244	846	2607
245	849	2603
246	852	2599
247	855	2594
248	859	2590
249	862	2586
250	865	2581
251	868	2577
252	871	2572
253	874	2567
254	877	2562
255	880	2558
256	883	2554
257	887	2551
258	890	2547
259	893	2543
260	896	2538
261	899	2534
262	902	2530
263	906	2526
264	909	2522
265	912	2518
266	916	2514
267	918	2509
268	921	2505
269	925	2501
270	928	2497
271	931	2492
272	934	2489
273	937	2485
274	941	2481
275	944	2477
276	947	2473
277	950	2469
278	954	2465
279	956	2460
280	960	2457
281	963	2452
282	966	2449
283	969	2444
284	972	2440
285	976	2436
286	979	2432
287	982	2428
288	985	2425
289	989	2421
290	992	2417
291	995	2414
292	999	2410
293	1002	2407
294	1005	2403
295	1008	2399
296	1012	2395
297	1015	2392
298	1018	2388
299	1021	2384
300	1025	2380
301	1028	2377
302	1031	2373
303	1034	2369
304	1038	2365
305	1040	2360
306	1044	2357
307	1047	2353
308	1050	2349
309	1053	2345
310	1056	2341
311	1060	2338
312	1063	2334
313	1066	2330
314	1070	2327
315	1073	2323
316	1076	2319
317	1079	2315
318	1082	2311
319	1085	2307
320	1089	2304
321	1092	2299
322	1094	2294
323	1098	2291
324	1101	2286
325	1104	2283
326	1107	2278
327	1110	2275
328	1113	2270
329	1116	2267
330	1119	2263
331	1123	2259
332	1126	2256
333	1129	2251
334	1132	2248
335	1135	2244
336	1139	2241
337	1142	2238
338	1146	2235
339	1149	2231
340	1152	2227
341	1156	2224
342	1159	2220
343	1162	2216
344	1165	2212
345	1168	2208
