iter	Passed	Remaining
0	63	63127
1	66	33292
2	69	23234
3	73	18236
4	76	15223
5	79	13171
6	82	11737
7	85	10655
8	88	9795
9	92	9117
10	95	8596
11	98	8127
12	101	7730
13	105	7424
14	108	7137
15	112	6894
16	115	6655
17	118	6455
18	121	6294
19	125	6127
20	128	5992
21	131	5863
22	135	5746
23	138	5616
24	141	5517
25	144	5416
26	147	5330
27	150	5239
28	154	5158
29	157	5084
30	160	5018
31	164	4961
32	167	4914
33	171	4862
34	174	4810
35	178	4767
36	181	4730
37	185	4683
38	188	4642
39	191	4601
40	195	4568
41	198	4526
42	202	4499
43	205	4473
44	209	4439
45	212	4405
46	215	4377
47	219	4353
48	222	4325
49	226	4302
50	230	4283
51	233	4254
52	237	4238
53	240	4219
54	244	4199
55	247	4174
56	251	4157
57	254	4140
58	258	4120
59	262	4106
60	265	4089
61	269	4075
62	272	4053
63	275	4035
64	279	4019
65	283	4005
66	286	3989
67	290	3977
68	293	3959
69	296	3943
70	300	3931
71	303	3917
72	307	3903
73	310	3890
74	314	3874
75	317	3862
76	321	3849
77	324	3837
78	328	3827
79	332	3818
80	335	3807
81	338	3790
82	341	3775
83	345	3762
84	348	3751
85	351	3740
86	355	3727
87	358	3715
88	362	3707
89	365	3697
90	369	3687
91	372	3674
92	375	3666
93	378	3651
94	381	3638
95	385	3629
96	388	3619
97	391	3607
98	395	3599
99	398	3587
100	401	3574
101	404	3559
102	407	3548
103	410	3539
104	414	3529
105	417	3518
106	420	3511
107	424	3502
108	427	3491
109	430	3483
110	433	3472
111	437	3468
112	440	3459
113	443	3450
114	447	3443
115	450	3436
116	454	3428
117	457	3421
118	461	3413
119	464	3404
120	467	3393
121	470	3386
122	473	3379
123	476	3367
124	479	3356
125	482	3350
126	486	3342
127	489	3334
128	492	3326
129	496	3320
130	499	3314
131	502	3306
132	505	3296
133	509	3290
134	512	3281
135	515	3272
136	518	3267
137	522	3261
138	525	3255
139	528	3248
140	532	3241
141	535	3237
142	538	3228
143	541	3221
144	545	3216
145	548	3210
146	552	3204
147	555	3197
148	558	3191
149	562	3185
150	565	3180
151	569	3175
152	572	3169
153	575	3163
154	579	3157
155	582	3150
156	585	3143
157	588	3136
158	591	3130
159	594	3122
160	598	3116
161	601	3110
162	604	3102
163	607	3094
164	610	3088
165	613	3082
166	616	3077
167	620	3070
168	623	3065
169	626	3059
170	629	3053
171	632	3046
172	636	3040
173	639	3035
174	642	3030
175	646	3024
176	649	3019
177	653	3015
178	656	3010
179	659	3004
180	662	2998
181	666	2993
182	669	2989
183	672	2984
184	676	2979
185	679	2974
186	683	2969
187	686	2965
188	690	2961
189	693	2955
190	696	2950
191	700	2946
192	703	2939
193	706	2935
194	709	2930
195	713	2925
196	716	2920
197	719	2916
198	723	2910
199	726	2905
200	729	2899
201	732	2894
202	736	2889
203	739	2884
204	742	2878
205	745	2871
206	748	2866
207	751	2861
208	754	2856
209	757	2850
210	761	2847
211	764	2842
212	768	2838
213	771	2832
214	774	2827
215	777	2822
216	780	2817
217	783	2811
218	787	2807
219	790	2801
220	793	2797
221	796	2791
222	800	2788
223	803	2782
224	806	2777
225	809	2772
226	812	2767
227	815	2762
228	818	2757
229	821	2751
230	824	2745
231	828	2741
232	831	2737
233	834	2732
234	838	2728
235	841	2723
236	844	2718
237	847	2714
238	851	2710
239	854	2706
240	857	2701
241	861	2697
242	864	2693
243	867	2687
244	870	2683
245	874	2679
246	877	2674
247	880	2670
248	884	2666
249	887	2661
250	890	2656
251	893	2652
252	896	2647
253	899	2642
254	902	2637
255	906	2634
256	909	2630
257	913	2626
258	916	2623
259	920	2619
260	923	2616
261	927	2611
262	930	2607
263	934	2604
264	938	2602
265	942	2599
266	945	2596
267	948	2591
268	952	2587
269	956	2584
270	959	2581
271	962	2576
272	966	2573
273	970	2570
274	973	2567
275	977	2565
276	982	2563
277	985	2560
278	989	2556
279	992	2551
280	995	2547
281	999	2543
282	1002	2540
283	1006	2536
284	1009	2533
285	1013	2529
286	1016	2525
287	1020	2522
288	1024	2519
289	1027	2516
290	1031	2513
291	1035	2509
292	1040	2509
293	1043	2506
294	1047	2502
295	1050	2498
296	1053	2494
297	1057	2490
298	1060	2486
299	1063	2482
300	1067	2478
301	1070	2474
302	1074	2470
303	1077	2466
304	1080	2463
305	1084	2459
306	1088	2456
307	1091	2452
308	1094	2448
309	1098	2444
310	1101	2440
311	1105	2437
312	1108	2432
313	1111	2428
314	1115	2424
315	1118	2421
316	1121	2417
317	1124	2412
318	1128	2408
319	1131	2404
320	1134	2400
321	1137	2396
322	1140	2390
323	1144	2386
324	1146	2382
325	1150	2378
326	1153	2373
327	1156	2369
328	1159	2365
329	1162	2361
330	1166	2356
331	1169	2352
332	1172	2349
333	1175	2344
334	1178	2340
335	1182	2336
336	1185	2332
337	1188	2328
338	1192	2324
339	1195	2320
340	1199	2317
341	1202	2313
342	1205	2309
343	1209	2305
344	1212	2301
345	1215	2297
