applicant_id,age,monthly_income,credit_limit,existing_debt,employment_years,num_existing_loans,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,pay_7,pay_8,pay_9,pay_10,pay_11,pay_12
B00001,36,48312.0,244732.0,57765.0,2.5,1,4,2,2,1,-1,2,4,4,3,1,4,2
B00002,53,53965.0,121042.0,27337.0,1.7,1,0,0,0,-1,0,0,0,-1,0,1,0,0
B00003,39,32656.0,167987.0,94629.0,4.8,1,0,0,-1,0,-1,-1,0,0,0,0,2,0
B00004,33,83688.0,280514.0,166605.0,12.5,0,-1,-1,-1,0,-1,-1,0,-1,3,4,0,-1
B00005,55,34055.0,162705.0,36418.0,6.5,3,0,-1,-1,0,0,-1,-1,-1,0,0,-1,3
B00006,52,50395.0,165038.0,21171.0,7.9,3,0,-1,-1,-1,0,0,-1,0,-1,-1,0,-1
B00007,21,29382.0,63756.0,31575.0,3.2,2,-1,0,-1,-1,0,0,1,-1,-1,-1,-1,-1
B00008,26,42750.0,192435.0,90349.0,4.2,2,-1,3,2,0,-1,0,0,-1,0,0,0,2
B00009,69,22205.0,85651.0,52291.0,7.2,0,0,-1,0,0,-1,0,-1,0,-1,-1,-1,-1
B00010,54,90059.0,494919.0,293120.0,1.2,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,-1
B00011,49,59963.0,275784.0,27676.0,2.7,3,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,0
B00012,67,59957.0,208816.0,86177.0,6.6,1,0,-1,0,-1,-1,-1,0,0,0,2,-1,2
B00013,46,45841.0,155628.0,116959.0,16.7,1,0,0,4,-1,0,0,-1,2,-1,3,3,0
B00014,25,104228.0,468884.0,67822.0,2.0,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1
B00015,68,33975.0,107552.0,12980.0,5.6,1,3,4,1,0,1,0,4,1,0,1,-1,1
B00016,52,43132.0,165603.0,108048.0,1.9,1,-1,-1,0,-1,0,-1,2,-1,-1,0,1,0
B00017,51,16169.0,28681.0,16123.0,2.5,3,0,0,0,4,1,0,0,0,-1,3,0,-1
B00018,59,129834.0,493829.0,57612.0,6.5,4,4,0,3,2,0,-1,0,0,0,0,0,-1
B00019,52,39705.0,230691.0,86143.0,8.0,2,0,2,1,1,-1,0,2,-1,4,0,3,3
B00020,65,99918.0,249105.0,79535.0,6.2,1,-1,0,4,-1,-1,0,-1,0,-1,-1,-1,0
B00021,60,125862.0,288878.0,108148.0,0.9,2,1,0,0,4,2,2,-1,4,-1,3,-1,4
B00022,59,24516.0,80027.0,37094.0,3.4,2,0,0,-1,0,4,0,-1,2,0,-1,-1,-1
B00023,38,77834.0,220627.0,54931.0,5.9,1,-1,0,0,-1,0,1,0,0,0,0,0,-1
B00024,22,21628.0,89625.0,46456.0,5.9,3,-1,1,1,0,4,-1,4,3,1,3,-1,0
B00025,42,68213.0,146539.0,53856.0,11.3,3,0,1,-1,-1,0,0,-1,0,-1,-1,-1,-1
B00026,46,103145.0,443051.0,70860.0,0.3,1,0,0,-1,0,-1,-1,-1,-1,-1,0,0,-1
B00027,40,25110.0,145395.0,72520.0,0.2,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0
B00028,41,58021.0,228564.0,37295.0,3.8,3,0,2,3,3,4,2,4,-1,1,0,-1,3
B00029,28,21718.0,35767.0,19033.0,3.0,2,1,-1,2,0,1,1,-1,-1,-1,3,4,-1
B00030,69,21948.0,115112.0,10597.0,1.5,1,0,-1,3,4,4,0,0,-1,3,0,-1,2
B00031,64,40030.0,216434.0,47114.0,11.3,1,-1,0,0,-1,0,0,-1,-1,0,0,0,-1
B00032,55,22963.0,96651.0,68717.0,3.9,0,3,1,0,0,1,1,1,0,3,0,1,0
B00033,66,36998.0,110347.0,39334.0,7.9,6,-1,0,-1,-1,-1,0,-1,0,-1,0,3,-1
B00034,35,37094.0,202922.0,150776.0,6.3,0,0,-1,-1,-1,0,-1,0,4,-1,0,0,0
B00035,23,16862.0,86634.0,25756.0,12.9,2,0,0,0,1,1,-1,4,1,3,1,1,1
B00036,56,65126.0,277878.0,111174.0,4.7,2,0,-1,-1,0,-1,-1,-1,-1,4,4,0,-1
B00037,28,64460.0,137414.0,23729.0,5.5,2,4,0,0,-1,4,4,3,3,4,3,2,4
B00038,41,150751.0,704857.0,252250.0,17.2,2,1,4,1,2,4,4,3,2,0,2,-1,0
B00039,57,42376.0,101818.0,15561.0,1.3,3,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1
B00040,42,26234.0,50184.0,10885.0,2.2,2,0,0,3,-1,0,0,0,0,0,-1,-1,-1
B00041,30,71995.0,199841.0,99454.0,13.6,2,-1,2,0,0,0,0,-1,-1,-1,2,0,0
B00042,65,51691.0,244473.0,104587.0,6.8,2,-1,0,0,-1,0,-1,0,0,0,-1,-1,-1
B00043,68,26601.0,142386.0,41704.0,8.8,4,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1
B00044,31,87967.0,315167.0,178099.0,5.6,4,-1,3,4,0,0,0,-1,2,4,3,4,4
B00045,42,65782.0,389880.0,75573.0,4.9,4,0,3,2,0,-1,1,1,2,1,2,3,2
B00046,46,56311.0,333796.0,167515.0,3.6,3,1,-1,-1,2,4,4,4,0,2,-1,0,2
B00047,29,27943.0,91531.0,83909.0,12.0,2,0,-1,0,-1,0,-1,0,-1,0,0,-1,-1
B00048,67,62045.0,213118.0,95947.0,2.6,0,0,0,-1,0,0,-1,0,-1,-1,0,-1,0
B00049,66,47703.0,105119.0,76746.0,10.7,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1
B00050,29,76189.0,256519.0,88948.0,11.2,1,-1,0,-1,2,0,4,2,2,2,0,2,-1
B00051,24,25820.0,146689.0,95670.0,11.5,2,0,1,0,2,3,3,1,1,1,-1,1,2
B00052,63,45858.0,234327.0,41507.0,12.8,1,0,-1,0,1,-1,-1,0,0,0,0,0,-1
B00053,55,51605.0,127701.0,28819.0,2.3,3,-1,4,2,3,4,2,1,-1,3,1,2,4
B00054,29,31404.0,183014.0,57600.0,4.8,5,-1,3,1,1,1,2,1,2,4,2,4,2
B00055,40,125445.0,296628.0,108538.0,1.3,0,0,0,-1,-1,-1,3,0,0,-1,0,-1,0
B00056,65,39528.0,226005.0,76561.0,2.0,1,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,0
B00057,28,18851.0,90272.0,53649.0,2.0,2,2,-1,0,3,0,-1,-1,-1,0,0,-1,3
B00058,25,27321.0,154531.0,89369.0,0.8,0,4,3,-1,-1,-1,0,0,0,0,1,-1,0
