applicant_id,pd,band,recommendation,top_factor,top_factor_direction,offered_amount,apr,emi,actual_default,predicted_decline,outcome
A001,0.0459,B,approve,Employment history,lowers,95000,0.1283,4509,0,0,correct_approve
A002,0.1808,D,decline,Recent payment history,raises,0,0.1823,0,0,1,false_alarm
A003,0.0898,C,review,Recent payment history,raises,145000,0.1459,7003,1,0,missed
A004,0.0805,C,approve,Recent payment history,raises,204000,0.1422,9816,0,0,correct_approve
A005,0.6049,E,decline,Recent payment history,raises,0,0.24,0,1,1,caught
A006,0.0898,C,review,Recent payment history,raises,251000,0.1459,12122,0,0,correct_approve
A007,0.0676,B,approve,Recent payment history,raises,245000,0.137,11729,0,0,correct_approve
A008,0.0581,B,approve,Age,lowers,349000,0.1332,16645,0,0,correct_approve
A009,0.0259,A,approve,Age,lowers,343000,0.1204,16152,0,0,correct_approve
A010,0.3099,E,decline,Recent payment history,raises,0,0.2339,0,0,1,false_alarm
A011,0.0898,C,review,Recent payment history,raises,236000,0.1459,11397,0,0,correct_approve
A012,0.2043,D,decline,Recent payment history,raises,0,0.1917,0,0,1,false_alarm
A013,0.1317,C,review,Recent payment history,raises,146000,0.1627,7167,1,0,missed
A014,0.0741,C,approve,Recent payment history,raises,71000,0.1397,3408,0,0,correct_approve
A015,0.0805,C,approve,Recent payment history,raises,93000,0.1422,4475,0,0,correct_approve
A016,0.8562,E,decline,Recent payment history,raises,0,0.24,0,1,1,caught
A017,0.0741,C,approve,Recent payment history,raises,98000,0.1397,4704,1,0,missed
A018,0.0428,B,approve,Monthly income,lowers,250000,0.1271,11852,0,0,correct_approve
A019,0.2303,D,decline,Recent payment history,raises,0,0.2021,0,1,1,caught
A020,0.018,A,approve,Employment history,lowers,103000,0.1172,4835,0,0,correct_approve
A021,0.2303,D,decline,Recent payment history,raises,0,0.2021,0,0,1,false_alarm
A022,0.0898,C,review,Recent payment history,raises,168000,0.1459,8113,0,0,correct_approve
A023,0.0554,B,approve,Employment history,raises,195000,0.1322,9291,0,0,correct_approve
A024,0.1114,C,review,Recent payment history,raises,389000,0.1546,18946,0,0,correct_approve
A025,0.2303,D,decline,Recent payment history,raises,0,0.2021,0,1,1,caught
A026,0.2043,D,decline,Recent payment history,raises,0,0.1917,0,1,1,caught
A027,0.1429,C,review,Recent payment history,raises,54000,0.1671,2662,0,0,correct_approve
A028,0.1317,C,review,Recent payment history,raises,338000,0.1627,16593,1,0,missed
A029,0.9399,E,decline,Recent payment history,raises,0,0.24,0,0,1,false_alarm
A030,0.0574,B,approve,Recent payment history,raises,122000,0.1329,5817,0,0,correct_approve
A031,0.0356,B,approve,Age,lowers,70000,0.1242,3309,0,0,correct_approve
A032,0.1429,C,review,Recent payment history,raises,121000,0.1671,5966,0,0,correct_approve
A033,0.031,B,approve,Employment history,lowers,252000,0.1224,11891,0,0,correct_approve
A034,0.0459,B,approve,Number of existing loans,raises,132000,0.1283,6265,0,0,correct_approve
A035,0.1489,C,review,Recent payment history,raises,379000,0.1696,18731,1,0,missed
A036,0.0597,B,approve,Recent payment history,raises,58000,0.1339,2768,0,0,correct_approve
A037,0.0,A,approve,Age,lowers,133000,0.11,6199,0,0,correct_approve
A038,0.0581,B,approve,Recent payment history,raises,525000,0.1332,25039,0,0,correct_approve
